<<<<<<< HEAD
id,condition,slider_value,hypothesis,hypothesis_type,slider_value_normalized,outcome,browser,browser_width,browser_height,screen_width,screen_height,mobile_device,about,why_action,comment,age,gender,first_language,experiment_time,action_trial_time,manip_check_score,action_response,experiment,social_condition
1,presentation,62,handle,prior,0.346,music,chrome,1297,702,1366,768,FALSE,no idea,seemed likely,no,56,m,english,142.778,11.225,3,both,e1_soc_only,social
1,presentation,22,both,prior,0.123,music,chrome,1297,702,1366,768,FALSE,no idea,seemed likely,no,56,m,english,142.778,11.225,3,both,e1_soc_only,social
1,presentation,95,button,prior,0.531,music,chrome,1297,702,1366,768,FALSE,no idea,seemed likely,no,56,m,english,142.778,11.225,3,both,e1_soc_only,social
2,performance,32,button,prior,0.323,light,chrome,1289,1257,2560,1440,FALSE,i have no idea,it would turn it on no matter what,NA,47,female,english,147.434,26.414,3,both,e1_soc_only,social
2,performance,34,both,prior,0.343,light,chrome,1289,1257,2560,1440,FALSE,i have no idea,it would turn it on no matter what,NA,47,female,english,147.434,26.414,3,both,e1_soc_only,social
2,performance,33,handle,prior,0.333,light,chrome,1289,1257,2560,1440,FALSE,i have no idea,it would turn it on no matter what,NA,47,female,english,147.434,26.414,3,both,e1_soc_only,social
3,learning,88,handle,prior,0.436,light,chrome,1870,600,1920,1080,FALSE,i think it was about testing memory through repetitive tasks.,"pressing the button and pulling the handle at the same time would make it easier to see how the buttons should be labeled, if i got both music and lights or nothing, then it's easier to figure out what does what.",NA,30,m,english,663.98,106.319,2,both,e1_soc_only,social
3,learning,78,button,prior,0.386,light,chrome,1870,600,1920,1080,FALSE,i think it was about testing memory through repetitive tasks.,"pressing the button and pulling the handle at the same time would make it easier to see how the buttons should be labeled, if i got both music and lights or nothing, then it's easier to figure out what does what.",NA,30,m,english,663.98,106.319,2,both,e1_soc_only,social
3,learning,36,both,prior,0.178,light,chrome,1870,600,1920,1080,FALSE,i think it was about testing memory through repetitive tasks.,"pressing the button and pulling the handle at the same time would make it easier to see how the buttons should be labeled, if i got both music and lights or nothing, then it's easier to figure out what does what.",NA,30,m,english,663.98,106.319,2,both,e1_soc_only,social
4,performance,87,button,prior,0.468,music,chrome,978,888,1920,1080,FALSE,to show how we problem solve,it made the most sense to me,none,24,f,english,210.997,18.986,3,handle,e1_soc_only,social
4,performance,89,handle,prior,0.478,music,chrome,978,888,1920,1080,FALSE,to show how we problem solve,it made the most sense to me,none,24,f,english,210.997,18.986,3,handle,e1_soc_only,social
4,performance,10,both,prior,0.054,music,chrome,978,888,1920,1080,FALSE,to show how we problem solve,it made the most sense to me,none,24,f,english,210.997,18.986,3,handle,e1_soc_only,social
5,nogoal,59,handle,prior,0.415,light,chrome,1837,994,1920,1080,FALSE,problem solving maybe?,i knew that it would preform both actions regardless of what the source actually did,everything went fine,26,m,english,145.278,15.878,3,both,e1_soc_only,no_social
5,nogoal,21,both,prior,0.148,light,chrome,1837,994,1920,1080,FALSE,problem solving maybe?,i knew that it would preform both actions regardless of what the source actually did,everything went fine,26,m,english,145.278,15.878,3,both,e1_soc_only,no_social
5,nogoal,62,button,prior,0.437,light,chrome,1837,994,1920,1080,FALSE,problem solving maybe?,i knew that it would preform both actions regardless of what the source actually did,everything went fine,26,m,english,145.278,15.878,3,both,e1_soc_only,no_social
6,presentation,100,handle,prior,0.98,light,chrome,957,637,1024,768,FALSE,not sure.,it seemed more fun to me.,fun!,40,male,english,202.355,16.081,2,both,e1_soc_only,social
6,presentation,1,button,prior,0.01,light,chrome,957,637,1024,768,FALSE,not sure.,it seemed more fun to me.,fun!,40,male,english,202.355,16.081,2,both,e1_soc_only,social
6,presentation,1,both,prior,0.01,light,chrome,957,637,1024,768,FALSE,not sure.,it seemed more fun to me.,fun!,40,male,english,202.355,16.081,2,both,e1_soc_only,social
7,nogoal,54,both,prior,0.348,music,firefox,1231,600,1296,864,FALSE,attention to directions,because there was a 50% chance,could reword questions to make them a little more understandable,33,f,english,226.47,16.393,3,both,e1_soc_only,no_social
7,nogoal,50,button,prior,0.323,music,firefox,1231,600,1296,864,FALSE,attention to directions,because there was a 50% chance,could reword questions to make them a little more understandable,33,f,english,226.47,16.393,3,both,e1_soc_only,no_social
7,nogoal,51,handle,prior,0.329,music,firefox,1231,600,1296,864,FALSE,attention to directions,because there was a 50% chance,could reword questions to make them a little more understandable,33,f,english,226.47,16.393,3,both,e1_soc_only,no_social
8,learning,100,both,prior,0.671,music,chrome,1610,822,1920,1080,FALSE,deductive reasoning,because you can answer the question with just one push or pull,NA,38,m,english,388.761,62.611,3,button,e1_soc_only,social
8,learning,23,button,prior,0.154,music,chrome,1610,822,1920,1080,FALSE,deductive reasoning,because you can answer the question with just one push or pull,NA,38,m,english,388.761,62.611,3,button,e1_soc_only,social
8,learning,26,handle,prior,0.174,music,chrome,1610,822,1920,1080,FALSE,deductive reasoning,because you can answer the question with just one push or pull,NA,38,m,english,388.761,62.611,3,button,e1_soc_only,social
9,nogoal,27,both,prior,0.287,light,chrome,914,600,1366,768,FALSE,it was about perceptions.,i selected the choice that would most likely get the toy box to do what i wanted.,no,24,m,english,171.985,24.455,3,both,e1_soc_only,no_social
